OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA
6816,8_1344,20160622,8,1344,CTRA.MADRID AL PARDO-INST.LLORENTE,,S,,,,,,U,28,079,07901,,08384,Ctra,de,El Pardo,N,23500,,,28035,09,043,093,T0792696,,,6,A,1,079-09-205,205,,559-1,2,3,20150519,20150519,,436493,4480268,N,,CTRA.MADRID AL PARDO-INST.LLORENTE,,1344
6817,8_1342,20160622,8,1342,PARQUE DEPORTIVO PTA.DE HIERRO,,S,,,,,,U,28,079,07901,,08384,Ctra,de,El Pardo,N,22400,,,28040,09,043,093,T0794154,,,6,A,1,079-09-205,205,,559-1,2,3,20150519,20150519,,436911,4479161,N,,PARQUE DEPORTIVO PTA.DE HIERRO,,1342
6818,8_23,20160622,8,23,ESCUELA UNIVERSITARIA DE ESTADISTICA,,S,,,,,,U,28,079,07901,,08014,Avda,de,Puerta de Hierro,N,5400,,,28040,09,033,093,T0794700,,,6,A,1,079-09-214,214,,559-1,2,3,20150519,20150519,,437679,4477984,N,,ESCUELA UNIVERSITARIA DE ESTADISTICA,,23
6819,8_1335,20160622,8,1335,AV.PUERTA DE HIERRO-PALACIO MONCLOA,,S,,,,,,U,28,079,07901,,08014,Avda,de,Puerta de Hierro,N,4900,,,28040,09,033,093,T0795927,,,6,A,1,079-09-218,218,,559-1,2,3,20150519,20150519,,438004,4477507,N,,AV.PUERTA DE HIERRO-PALACIO MONCLOA,,1335
6820,8_1333,20160622,8,1333,AV.PUERTA DE HIERRO-AGRONOMOS,,S,,,,,,U,28,079,07901,,08014,Avda,de,Puerta de Hierro,N,4500,,,28040,09,033,093,T0796132,,,6,A,1,079-09-218,218,,559-1,2,3,20150519,20150519,,438190,4477242,N,,AV.PUERTA DE HIERRO-AGRONOMOS,,1333
6821,8_1348,20160622,8,1348,AV.C.HERRERA ORIA-NAVALUENGA,,S,,,,,,U,28,079,07901,,09458,Avda,del,Cardenal Herrera Oria,N,427,A,,28035,08,005,082,T0791899,,,7,A,1,079-08-170,170,,559-1,2,3,20150519,20150519,,436870,4480983,N,,AV.C.HERRERA ORIA-NAVALUENGA,,1348
6822,8_1347,20160622,8,1347,AV.C.HERRERA ORIA-FUENTEMILANOS,,S,,,,,,U,28,079,07901,,09458,Avda,del,Cardenal Herrera Oria,N,425,,,28035,08,005,082,T0791866,,,7,A,1,079-08-170,170,,559-1,2,3,20150519,20150519,,436921,4480980,N,,AV.C.HERRERA ORIA-FUENTEMILANOS,,1347
6823,8_1350,20160622,8,1350,AV.C.HERRERA ORIA-ARROYOFRESNO,,S,,,,,,U,28,079,07901,,09458,Avda,del,Cardenal Herrera Oria,N,407,,,28035,08,006,082,T0791685,,,7,A,1,079-08-170,170,,559-1,2,3,20150519,20150519,,437364,4481170,N,,AV.C.HERRERA ORIA-ARROYOFRESNO,,1350
6824,8_1353,20160622,8,1353,AV.C.HERRERA ORIA-ENRIQUE LEYRA,,S,,,,,,U,28,079,07901,,09458,Avda,del,Cardenal Herrera Oria,N,361,,,28035,08,008,083,T0791833,,,7,A,1,079-08-174,174,,559-1,2,3,20150519,20150519,,437980,4481120,N,,AV.C.HERRERA ORIA-ENRIQUE LEYRA,,1353
6825,8_1352,20160622,8,1352,AV.C.HERRERA ORIA-ENRIQUE LEYRA,,S,,,,,,U,28,079,07901,,02366,Cmno,de,Fuencarral,N,1,A,,28035,08,013,083,T0791814,,,7,A,1,079-08-171,171,,559-1,2,3,20150519,20150519,,437969,4481157,N,,AV.C.HERRERA ORIA-ENRIQUE LEYRA,,1352
6826,8_1354,20160622,8,1354,AV.C.HERRERA ORIA-ISLAS MARQUESAS,,S,,,,,,U,28,079,07901,,09458,Avda,del,Cardenal Herrera Oria,N,315,,,28035,08,010,083,T0791693,,,7,A,1,079-08-174,174,,559-1,2,3,20150519,20150519,,438503,4481314,N,,AV.C.HERRERA ORIA-ISLAS MARQUESAS,,1354
6827,8_1355,20160622,8,1355,AV.C.HERRERA ORIA-RAMON GOMEZ SERNA,,S,,,,,,U,28,079,07901,,10778,Calle,de,Ramón Gómez de la Serna,N,1,,,28035,08,012,083,T0791473,,,7,A,1,079-08-172,172,,559-1,2,3,20150519,20150519,,438772,4481497,N,,AV.C.HERRERA ORIA-RAMON GOMEZ SERNA,,1355
6828,8_1351,20160622,8,1351,AV.C.HERRERA ORIA-GASCONES,,S,,,,,,U,28,079,07901,,09458,Avda,del,Cardenal Herrera Oria,N,397,,,28035,08,008,083,T0791817,,,7,A,1,079-08-174,174,,559-1,2,3,20150519,20150519,,437517,4481165,N,,AV.C.HERRERA ORIA-GASCONES,,1351
