OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
2017,8,349333,92014,2,2,1,17491,*,,1,TI,T,RONDA SUR-HOSPITAL DEL SURESTE,28,014,ARGANDA DEL REY,B3,Ronda del Sur N SN,20130222,20130315,,0,0,9,_,28,014,9__2__014__-_2_IT_1_8_17491_*__TI_T_1,-,2014201,RONDA SUR-HOSPITAL DEL SURESTE,9__2__014_,9__2__014__2014201_2_IT_1,8_17491,8_17491_*,8_17491_
2018,8,349332,92014,2,2,2,17827,*,,12,TI,I,AV.VALENCIA-RECINTOS FERIALES,28,014,ARGANDA DEL REY,B3,Avda de Valencia SN SN,20130222,20130315,,825.2025,40,9,_,28,014,9__2__014__r._2_IT_2_8_17827_*__TI_I_12,r.,2014202,AV.VALENCIA-RECINTOS FERIALES,9__2__014_,9__2__014__2014202_2_IT_2,8_17827,8_17827_*,8_17827_
2019,8,346766,92014,2,1,2,17829,*,,14,TI,I,AV.VALENCIA-RECINTOS FERIALES,28,014,ARGANDA DEL REY,B3,Avda de Valencia N sn,20120214,20120213,,840.4864,40,9,_,28,014,9__2__014__r._1_IT_2_8_17829_*__TI_I_14,r.,2014102,AV.VALENCIA-RECINTOS FERIALES,9__2__014_,9__2__014__2014102_1_IT_2,8_17829,8_17829_*,8_17829_
2020,8,346768,94014,4,1,1,17958,*,,13,TI,I,AV.ALCALÁ DE HENARES-ROSALES,28,014,ARGANDA DEL REY,B3,Avda de Alcalá de Henares N 15,20120214,20120213,,410.3466,40,9,_,28,014,9__4__014__-_1_IT_1_8_17958_*__TI_I_13,-,4014101,AV.ALCALÁ DE HENARES-ROSALES,9__4__014_,9__4__014__4014101_1_IT_1,8_17958,8_17958_*,8_17958_
2021,8,346765,92014,2,1,1,17981,*,,28,TI,I,RONDA SUR-COLEGIO,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20120214,20120213,,412.9188,40,9,_,28,014,9__2__014__-_1_IT_1_8_17981_*__TI_I_28,-,2014101,RONDA SUR-COLEGIO,9__2__014_,9__2__014__2014101_1_IT_1,8_17981,8_17981_*,8_17981_
2022,8,346766,92014,2,1,2,17981,*,,24,TI,I,RONDA SUR-COLEGIO,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20120214,20120213,,412.9188,40,9,_,28,014,9__2__014__r._1_IT_2_8_17981_*__TI_I_24,r.,2014102,RONDA SUR-COLEGIO,9__2__014_,9__2__014__2014102_1_IT_2,8_17981,8_17981_*,8_17981_
2023,8,346768,94014,4,1,1,17981,*,,37,TI,I2,RONDA SUR-COLEGIO,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20120214,20120213,,412.9188,40,9,_,28,014,9__4__014__-_1_IT_1_8_17981_*__TI_I2_37,-,4014101,RONDA SUR-COLEGIO,9__4__014_,9__4__014__4014101_1_IT_1,8_17981,8_17981_*,8_17981_
2024,8,349332,92014,2,2,2,17982,*,,2,TI,I,RONDA SUR-COLEGIO,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20130222,20130315,,490.1838,40,9,_,28,014,9__2__014__r._2_IT_2_8_17982_*__TI_I_2,r.,2014202,RONDA SUR-COLEGIO,9__2__014_,9__2__014__2014202_2_IT_2,8_17982,8_17982_*,8_17982_
2025,8,349333,92014,2,2,1,17982,*,,2,TI,I,RONDA SUR-COLEGIO,28,014,ARGANDA DEL REY,B3,Ronda del Sur N 1,20130222,20130315,,490.1838,40,9,_,28,014,9__2__014__-_2_IT_1_8_17982_*__TI_I_2,-,2014201,RONDA SUR-COLEGIO,9__2__014_,9__2__014__2014201_2_IT_1,8_17982,8_17982_*,8_17982_
2026,8,346768,94014,4,1,1,17955,*,,6,TI,I,SAN SEBASTIÁN-AV.MADRID,28,014,ARGANDA DEL REY,B3,Calle de San Sebastián N 1,20120214,20120213,,253.6244,40,9,_,28,014,9__4__014__-_1_IT_1_8_17955_*__TI_I_6,-,4014101,SAN SEBASTIÁN-AV.MADRID,9__4__014_,9__4__014__4014101_1_IT_1,8_17955,8_17955_*,8_17955_
2027,8,355109,91014,1,2,2,18273,*,,6,TI,I,TOMÁS EDISON-AV.GALILEO GALILEI,28,014,ARGANDA DEL REY,B3,Calle  Tomás Edison N 3,20151027,20151104,,854.0728,-1,9,_,28,014,9__1__014__g._2_IT_2_8_18273_*__TI_I_6,g.,1014207,TOMÁS EDISON-AV.GALILEO GALILEI,9__1__014_,9__1__014__1014207_2_IT_2,8_18273,8_18273_*,8_18273_
2028,8,355105,91014,1,2,1,18273,*,,6,TI,I,TOMÁS EDISON-AV.GALILEO GALILEI,28,014,ARGANDA DEL REY,B3,Calle  Tomás Edison N 3,20151027,20151104,,854.0728,-1,9,_,28,014,9__1__014__-_2_IT_1_8_18273_*__TI_I_6,-,1014201,TOMÁS EDISON-AV.GALILEO GALILEI,9__1__014_,9__1__014__1014201_2_IT_1,8_18273,8_18273_*,8_18273_
2029,8,355107,91014,1,2,2,18273,*,,6,TI,I,TOMÁS EDISON-AV.GALILEO GALILEI,28,014,ARGANDA DEL REY,B3,Calle  Tomás Edison N 3,20151027,20151104,,854.0728,-1,9,_,28,014,9__1__014__c._2_IT_2_8_18273_*__TI_I_6,c.,1014208,TOMÁS EDISON-AV.GALILEO GALILEI,9__1__014_,9__1__014__1014208_2_IT_2,8_18273,8_18273_*,8_18273_
2030,8,346768,94014,4,1,1,18631,*,,4,TI,I,AV.LISBOA-PZA.ESTOCOLMO,28,014,ARGANDA DEL REY,B3,Avda de Lisboa N 10,20120214,20120213,,538.3009,40,9,_,28,014,9__4__014__-_1_IT_1_8_18631_*__TI_I_4,-,4014101,AV.LISBOA-PZA.ESTOCOLMO,9__4__014_,9__4__014__4014101_1_IT_1,8_18631,8_18631_*,8_18631_
2031,8,346768,94014,4,1,1,18640,*,,3,TI,I,AV.ROMA-AV.HAYA,28,014,ARGANDA DEL REY,B3,Avda de Roma N 5,20120214,20120213,,295.3874,40,9,_,28,014,9__4__014__-_1_IT_1_8_18640_*__TI_I_3,-,4014101,AV.ROMA-AV.HAYA,9__4__014_,9__4__014__4014101_1_IT_1,8_18640,8_18640_*,8_18640_
2032,8,346768,94014,4,1,1,18643,*,,2,TI,I,PRAGA-PZA.BRATISLAVA,28,014,ARGANDA DEL REY,B3,Calle de Praga N 3,20120214,20120213,,540.9934,40,9,_,28,014,9__4__014__-_1_IT_1_8_18643_*__TI_I_2,-,4014101,PRAGA-PZA.BRATISLAVA,9__4__014_,9__4__014__4014101_1_IT_1,8_18643,8_18643_*,8_18643_
2033,8,355104,91014,1,1,1,18824,*,,16,TI,I,SOLIDARIDAD-AV. DE VALENCIA,28,014,ARGANDA DEL REY,B3,Calle de la Solidaridad N 1,20151027,20151104,,378.4205,40,9,_,28,014,9__1__014__-_1_IT_1_8_18824_*__TI_I_16,-,1014101,SOLIDARIDAD-AV. DE VALENCIA,9__1__014_,9__1__014__1014101_1_IT_1,8_18824,8_18824_*,8_18824_
2034,8,355104,91014,1,1,1,18825,*,,17,TI,I,COMPENSIÓN-AV.DERECHOS HUMANOS,28,014,ARGANDA DEL REY,B3,Calle de la Comprensión N 11,20151027,20151104,,414.3411,15,9,_,28,014,9__1__014__-_1_IT_1_8_18825_*__TI_I_17,-,1014101,COMPENSIÓN-AV.DERECHOS HUMANOS,9__1__014_,9__1__014__1014101_1_IT_1,8_18825,8_18825_*,8_18825_
2035,8,349333,92014,2,2,1,19182,*,,6,TI,I,VALDEMARÍA-SATURNO,28,014,ARGANDA DEL REY,B3,Calle   Valdemaría N 16,20130222,20130315,,225.6678,15,9,_,28,014,9__2__014__-_2_IT_1_8_19182_*__TI_I_6,-,2014201,VALDEMARÍA-SATURNO,9__2__014_,9__2__014__2014201_2_IT_1,8_19182,8_19182_*,8_19182_
2036,8,349332,92014,2,2,2,19182,*,,6,TI,I,VALDEMARÍA-SATURNO,28,014,ARGANDA DEL REY,B3,Calle   Valdemaría N 16,20130222,20130315,,225.6671,30,9,_,28,014,9__2__014__r._2_IT_2_8_19182_*__TI_I_6,r.,2014202,VALDEMARÍA-SATURNO,9__2__014_,9__2__014__2014202_2_IT_2,8_19182,8_19182_*,8_19182_
2037,8,355108,91014,1,1,2,19182,*,,5,TI,I,VALDEMARÍA-SATURNO,28,014,ARGANDA DEL REY,B3,Calle   Valdemaría N 16,20151027,20151104,,211.3911,40,9,_,28,014,9__1__014__g._1_IT_2_8_19182_*__TI_I_5,g.,1014107,VALDEMARÍA-SATURNO,9__1__014_,9__1__014__1014107_1_IT_2,8_19182,8_19182_*,8_19182_
2038,8,355104,91014,1,1,1,19182,*,,5,TI,I,VALDEMARÍA-SATURNO,28,014,ARGANDA DEL REY,B3,Calle   Valdemaría N 16,20151027,20151104,,211.3911,40,9,_,28,014,9__1__014__-_1_IT_1_8_19182_*__TI_I_5,-,1014101,VALDEMARÍA-SATURNO,9__1__014_,9__1__014__1014101_1_IT_1,8_19182,8_19182_*,8_19182_
2039,8,355106,91014,1,1,2,19182,*,,5,TI,I,VALDEMARÍA-SATURNO,28,014,ARGANDA DEL REY,B3,Calle   Valdemaría N 16,20151027,20151104,,211.3911,40,9,_,28,014,9__1__014__c._1_IT_2_8_19182_*__TI_I_5,c.,1014108,VALDEMARÍA-SATURNO,9__1__014_,9__1__014__1014108_1_IT_2,8_19182,8_19182_*,8_19182_
2040,8,342020,93022,3,1,1,12076,*,,5,TI,I,CTRA.M516-URB.PINO CENTINELA,28,022,BOADILLA DEL MONTE,B2,Ctra de Boadilla-Majadahonda N 4000,20100329,20100401,,1830.0587,13.36,9,_,28,022,9__3__022__-_1_IT_1_8_12076_*__TI_I_5,-,3022101,CTRA.M516-URB.PINO CENTINELA,9__3__022_,9__3__022__3022101_1_IT_1,8_12076,8_12076_*,8_12076_
2041,8,342020,93022,3,1,1,12077,*,,6,TI,I,CTRA.M516-URB.MONTE DE LAS ENCINAS,28,022,BOADILLA DEL MONTE,B2,Ctra de Boadilla-Majadahonda N 2700,20100329,20100401,,1087.0703,70,9,_,28,022,9__3__022__-_1_IT_1_8_12077_*__TI_I_6,-,3022101,CTRA.M516-URB.MONTE DE LAS ENCINAS,9__3__022_,9__3__022__3022101_1_IT_1,8_12077,8_12077_*,8_12077_
2042,8,337160,91022,1,2,1,09886,*,,26,TI,I,ALBERCA-INSTITUTO,28,022,BOADILLA DEL MONTE,B2,Calle de la Alberca N 1,20071119,20071227,,483.3915,13.36,9,93_387,28,022,9__1__022__-_2_IT_1_8_09886_*__TI_I_26,-,1022201,ALBERCA-INSTITUTO,9__1__022_,9__1__022__1022201_2_IT_1,8_09886,8_09886_*,8_09886_
2043,8,337161,92022,2,1,1,09915,*,,2,TI,I,CTRA.VILLAVICIOSA-GUARDIA CIVIL,28,022,BOADILLA DEL MONTE,B2,Ctra de Boadilla-Villaviciosa N 1,20071119,20071227,,278.3582,40,9,93_398,28,022,9__2__022__-_1_IT_1_8_09915_*__TI_I_2,-,2022101,CTRA.VILLAVICIOSA-GUARDIA CIVIL,9__2__022_,9__2__022__2022101_1_IT_1,8_09915,8_09915_*,8_09915_
2044,8,342020,93022,3,1,1,09915,*,,2,TI,I,CTRA.VILLAVICIOSA-GUARDIA CIVIL,28,022,BOADILLA DEL MONTE,B2,Ctra de Boadilla-Villaviciosa N 1,20100329,20100401,,278.3582,40,9,93_398,28,022,9__3__022__-_1_IT_1_8_09915_*__TI_I_2,-,3022101,CTRA.VILLAVICIOSA-GUARDIA CIVIL,9__3__022_,9__3__022__3022101_1_IT_1,8_09915,8_09915_*,8_09915_
2045,8,341918,92022,2,2,1,10477,*,,3,TI,I,AV.LAS LOMAS-VALLE ORDESA,28,022,BOADILLA DEL MONTE,B2,Avda de las Lomas N 27,20100316,20100401,,307.116,40,9,_,28,022,9__2__022__-_2_IT_1_8_10477_*__TI_I_3,-,2022201,AV.LAS LOMAS-VALLE ORDESA,9__2__022_,9__2__022__2022201_2_IT_1,8_10477,8_10477_*,8_10477_
2046,8,337160,91022,1,2,1,10477,*,,2,TI,I,AV.LAS LOMAS-VALLE ORDESA,28,022,BOADILLA DEL MONTE,B2,Avda de las Lomas N 27,20071119,20071227,,307.116,40,9,_,28,022,9__1__022__-_2_IT_1_8_10477_*__TI_I_2,-,1022201,AV.LAS LOMAS-VALLE ORDESA,9__1__022_,9__1__022__1022201_2_IT_1,8_10477,8_10477_*,8_10477_
2047,8,337159,91022,1,1,1,10478,*,,28,TI,I,AV.LAS LOMAS-VALLE ORDESA,28,022,BOADILLA DEL MONTE,B2,Avda de las Lomas N 27,20071119,20071227,,314.0287,40,9,_,28,022,9__1__022__-_1_IT_1_8_10478_*__TI_I_28,-,1022101,AV.LAS LOMAS-VALLE ORDESA,9__1__022_,9__1__022__1022101_1_IT_1,8_10478,8_10478_*,8_10478_
2048,8,337159,91022,1,1,1,10479,*,,10,TI,I,AV.MONTE SEGOVIA-CENTRO COMERCIAL,28,022,BOADILLA DEL MONTE,B2,Avda del Monte Segovia N 6,20071119,20071227,,383.683,40,9,_,28,022,9__1__022__-_1_IT_1_8_10479_*__TI_I_10,-,1022101,AV.MONTE SEGOVIA-CENTRO COMERCIAL,9__1__022_,9__1__022__1022101_1_IT_1,8_10479,8_10479_*,8_10479_
2049,8,341918,92022,2,2,1,10481,*,,4,TI,I,AV.LAS LOMAS-VALLEFRANCO,28,022,BOADILLA DEL MONTE,B2,Avda de las Lomas N 39,20100316,20100401,,285.191,40,9,_,28,022,9__2__022__-_2_IT_1_8_10481_*__TI_I_4,-,2022201,AV.LAS LOMAS-VALLEFRANCO,9__2__022_,9__2__022__2022201_2_IT_1,8_10481,8_10481_*,8_10481_
2050,8,337160,91022,1,2,1,10481,*,,3,TI,I,AV.LAS LOMAS-VALLEFRANCO,28,022,BOADILLA DEL MONTE,B2,Avda de las Lomas N 39,20071119,20071227,,285.191,40,9,_,28,022,9__1__022__-_2_IT_1_8_10481_*__TI_I_3,-,1022201,AV.LAS LOMAS-VALLEFRANCO,9__1__022_,9__1__022__1022201_2_IT_1,8_10481,8_10481_*,8_10481_
2051,8,337159,91022,1,1,1,10482,*,,27,TI,I,AV.LAS LOMAS-VALLEFRANCO,28,022,BOADILLA DEL MONTE,B2,Avda de las Lomas N 39,20071119,20071227,,205.7215,40,9,_,28,022,9__1__022__-_1_IT_1_8_10482_*__TI_I_27,-,1022101,AV.LAS LOMAS-VALLEFRANCO,9__1__022_,9__1__022__1022101_1_IT_1,8_10482,8_10482_*,8_10482_
2052,8,342020,93022,3,1,1,11281,*,,8,TI,I,PLAYA DEL SARDINERO-GTA.ALCALDE DE FABRA,28,022,BOADILLA DEL MONTE,B2,Calle  Playa del Sardinero N 3,20100329,20100401,,839.3759,15,9,_,28,022,9__3__022__-_1_IT_1_8_11281_*__TI_I_8,-,3022101,PLAYA DEL SARDINERO-GTA.ALCALDE DE FABRA,9__3__022_,9__3__022__3022101_1_IT_1,8_11281,8_11281_*,8_11281_
2053,8,345039,93022,3,2,1,12296,*,,16,TI,I,CTRA.MAJADAHONDA-EST.BOADILLA CENTRO,28,022,BOADILLA DEL MONTE,B2,Ctra de Boadilla-Majadahonda N 40,20110517,20110525,,1734.0731,40,9,93_387,28,022,9__3__022__-_2_IT_1_8_12296_*__TI_I_16,-,3022201,CTRA.MAJADAHONDA-EST.BOADILLA CENTRO,9__3__022_,9__3__022__3022201_2_IT_1,8_12296,8_12296_*,8_12296_
2054,8,337160,91022,1,2,1,12296,*,,27,TI,I,CTRA.MAJADAHONDA-EST.BOADILLA CENTRO,28,022,BOADILLA DEL MONTE,B2,Ctra de Boadilla-Majadahonda N 40,20071119,20071227,,239.2033,40,9,93_387,28,022,9__1__022__-_2_IT_1_8_12296_*__TI_I_27,-,1022201,CTRA.MAJADAHONDA-EST.BOADILLA CENTRO,9__1__022_,9__1__022__1022201_2_IT_1,8_12296,8_12296_*,8_12296_
2055,8,341918,92022,2,2,1,12296,*,,19,TI,I,CTRA.MAJADAHONDA-EST.BOADILLA CENTRO,28,022,BOADILLA DEL MONTE,B2,Ctra de Boadilla-Majadahonda N 40,20100316,20100401,,1328.5889,40,9,93_387,28,022,9__2__022__-_2_IT_1_8_12296_*__TI_I_19,-,2022201,CTRA.MAJADAHONDA-EST.BOADILLA CENTRO,9__2__022_,9__2__022__2022201_2_IT_1,8_12296,8_12296_*,8_12296_
2056,8,337159,91022,1,1,1,12180,*,,5,TI,I,AV.NUEVO MUNDO-EST.NUEVO MUNDO,28,022,BOADILLA DEL MONTE,B2,Avda del Nuevo Mundo N 8A,20071119,20071227,,294.2851,40,9,93_410,28,022,9__1__022__-_1_IT_1_8_12180_*__TI_I_5,-,1022101,AV.NUEVO MUNDO-EST.NUEVO MUNDO,9__1__022_,9__1__022__1022101_1_IT_1,8_12180,8_12180_*,8_12180_
2057,8,337160,91022,1,2,1,12181,*,,25,TI,I,AV.NUEVO MUNDO-EST.NUEVO MUNDO,28,022,BOADILLA DEL MONTE,B2,Avda del Nuevo Mundo N 5A,20071119,20071227,,450.4423,13.36,9,93_410,28,022,9__1__022__-_2_IT_1_8_12181_*__TI_I_25,-,1022201,AV.NUEVO MUNDO-EST.NUEVO MUNDO,9__1__022_,9__1__022__1022201_2_IT_1,8_12181,8_12181_*,8_12181_
2058,8,337159,91022,1,1,1,12184,*,,6,TI,I,AV.SIGLO XXI-EST.SIGLO XXI,28,022,BOADILLA DEL MONTE,B2,Avda del Siglo XXI N 1,20071119,20071227,,607.6613,13.36,9,93_422,28,022,9__1__022__-_1_IT_1_8_12184_*__TI_I_6,-,1022101,AV.SIGLO XXI-EST.SIGLO XXI,9__1__022_,9__1__022__1022101_1_IT_1,8_12184,8_12184_*,8_12184_
2059,8,337160,91022,1,2,1,12185,*,,24,TI,I,AV.SIGLO XX-EST.SIGLO XXI,28,022,BOADILLA DEL MONTE,B2,Avda del Siglo XXI N 1,20071119,20071227,,584.454,13.36,9,93_422,28,022,9__1__022__-_2_IT_1_8_12185_*__TI_I_24,-,1022201,AV.SIGLO XX-EST.SIGLO XXI,9__1__022_,9__1__022__1022201_2_IT_1,8_12185,8_12185_*,8_12185_
2060,8,337160,91022,1,2,1,12186,*,,23,TI,I,AV.INFANTE DON LUIS-FEDERICO Gª LORCA,28,022,BOADILLA DEL MONTE,B2,Avda del Infante Don Luis N 8,20071119,20071227,,470.736,13.36,9,93_401,28,022,9__1__022__-_2_IT_1_8_12186_*__TI_I_23,-,1022201,AV.INFANTE DON LUIS-FEDERICO Gª LORCA,9__1__022_,9__1__022__1022201_2_IT_1,8_12186,8_12186_*,8_12186_
2061,8,337159,91022,1,1,1,12187,*,,7,TI,I,AV.INFANTE DON LUIS-GREGORIO MARAÑÓN,28,022,BOADILLA DEL MONTE,B2,Avda del Infante Don Luis N 5,20071119,20071227,,345.6529,13.36,9,93_401,28,022,9__1__022__-_1_IT_1_8_12187_*__TI_I_7,-,1022101,AV.INFANTE DON LUIS-GREGORIO MARAÑÓN,9__1__022_,9__1__022__1022101_1_IT_1,8_12187,8_12187_*,8_12187_
2062,8,337159,91022,1,1,1,12188,*,,8,TI,I,AV.INFANTE DON LUIS-INSTITUTO,28,022,BOADILLA DEL MONTE,B2,Avda del Infante Don Luis N 4,20071119,20071227,,469.968,13.36,9,_,28,022,9__1__022__-_1_IT_1_8_12188_*__TI_I_8,-,1022101,AV.INFANTE DON LUIS-INSTITUTO,9__1__022_,9__1__022__1022101_1_IT_1,8_12188,8_12188_*,8_12188_
