OBJECTID,IDESTACION,FECHAACTUAL,MODO,CODIGOESTACION,DENOMINACION,OBSERVACIONES,SITUACION,CODIGOCTMESTACIONREDMETRO,CODIGOEMPRESA,DENOMINACIONABREVIADA,MODOINTERCAMBIADOR,CODIGOINTERCAMBIADOR,TIPO,CODIGOPROVINCIA,CODIGOMUNICIPIO,CODIGOENTIDAD,CODIGONUCLEO,CODIGOVIA,TIPOVIA,PARTICULA,NOMBREVIA,TIPONUMERO,NUMEROPORTAL,CALIFICADORPORTAL,CARRETERA,CODIGOPOSTAL,DISTRITO,SECCIONCENSAL,BARRIO,TESELA,SECTORURBANO,SECTOR,CORREDOR,CORONATARIFARIA,CORONA123,ZONATRANSPORTE,ENCUESTADOMICILIARIA,ENCUESTAAFOROS,HOJA25000,ACONDICIONAMIENTOVIAJEROS,ACONDICIONAMIENTOVEHICULOS,FECHAALTA,FECHAINICIO,FECHAFIN,X,Y,GRADOACCESIBILIDAD,SITUACIONCALLE,DENOMINACION_SAE,INTERURBANOS_CODIGOEMT_CRTM,INTERURBANOS_CODIGOEMT_EMPRESA,LINEAS,OBJECTID_1,MODO_1,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION_1,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION_1,CODIGOPROVINCIA_1,CODIGOMUNICIPIO_1,MUNICIPIO,CORONATARIFARIA_1,DIRECCION,FECHAALTA_1,FECHAINICIO_1,FECHAFIN_1,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE_1,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
732,8_13151,20160622,8,13151,AV.PARDO-URB.MONTEALEGRE,,S,,,,,,U,28,152,15211,,00523,Avda,del,Pardo,N,40,,,28250,01,009,,T15255,,,6,B3,2,152-003,1022,,533-4,2,3,20020617,20020617,,423816,4492982,T,,AV.PARDO-URB.MONTEALEGRE,,,,6082,8,356147,94152,4,1,1,13151,*,,23,TI,I,AV.PARDO-URB.MONTEALEGRE,28,152,TORRELODONES,B3,Avda del Pardo N 40,20160203,20160222,,252.5244,40,9,_,28,152,9__4__152__-_1_IT_1_8_13151_*__TI_I_23,-,4152101,AV.PARDO-URB.MONTEALEGRE,9__4__152_,9__4__152__4152101_1_IT_1,8_13151,8_13151_*,8_13151_
733,8_13153,20160622,8,13153,AV.PARDO-AV.MONTE,,S,,,,,,Z,28,152,15211,,00523,Ctra,del,Pardo,N,42,B,,28250,01,,,,,9,6,B3,3,152-003,1022,,,2,3,20020617,20020617,,424867,4492924,T,,AV.PARDO-AV.MONTE,,,,6084,8,356147,94152,4,1,1,13153,*,,26,TI,I,AV.PARDO-AV.MONTE,28,152,TORRELODONES,B3,Ctra del Pardo N 42B,20160203,20160222,,191.2025,-1,9,_,28,152,9__4__152__-_1_IT_1_8_13153_*__TI_I_26,-,4152101,AV.PARDO-AV.MONTE,9__4__152_,9__4__152__4152101_1_IT_1,8_13153,8_13153_*,8_13153_
734,8_13155,20160622,8,13155,AV.LOMA Nº38,,S,,,,,,Z,28,152,15211,,00497,Avda,de la,Loma,N,38,,,28250,01,,,,,9,6,B3,3,152-003,1022,,,2,3,20020617,20020617,,425085,4492564,T,,AV.LOMA Nº38,,,,6086,8,356147,94152,4,1,1,13155,*,,29,TI,I,AV.LOMA Nº38,28,152,TORRELODONES,B3,Avda de la Loma N 38,20160203,20160222,,239.0838,40,9,_,28,152,9__4__152__-_1_IT_1_8_13155_*__TI_I_29,-,4152101,AV.LOMA Nº38,9__4__152_,9__4__152__4152101_1_IT_1,8_13155,8_13155_*,8_13155_
735,8_13156,20160622,8,13156,AV.RODEO-AV.LOMA,,S,,,,,,Z,28,152,15211,,00536,Avda,del,Rodeo,N,102,,,28250,01,,,,,9,6,B3,3,152-003,1022,,,2,3,20020617,20020617,,424905,4492388,T,,AV.RODEO-AV.LOMA,,,,6087,8,356147,94152,4,1,1,13156,*,,30,TI,I,AV.RODEO-AV.LOMA,28,152,TORRELODONES,B3,Avda del Rodeo N 102,20160203,20160222,,339.8596,-1,9,_,28,152,9__4__152__-_1_IT_1_8_13156_*__TI_I_30,-,4152101,AV.RODEO-AV.LOMA,9__4__152_,9__4__152__4152101_1_IT_1,8_13156,8_13156_*,8_13156_
736,8_06652,20160622,8,06652,MAJADA-AV.INDUSTRIA,,S,,,,,,U,28,903,90301,,00238,Calle,de la,Majada,N,4,,,28760,01,,2,,,6,7,B2,3,903-006,639,,534-I,1,0,20010621,19010101,,441121,4494969,T,,MAJADA-AV.INDUSTRIA,,,,6453,8,348402,93903,3,1,1,06652,*,,22,TI,I2,MAJADA-AV.INDUSTRIA,28,903,TRES CANTOS,B2,Calle de la Majada N 4,20120911,20121101,,372.8582,-1,9,_,28,903,9__3__903__-_1_IT_1_8_06652_*__TI_I2_22,-,3903101,MAJADA-AV.INDUSTRIA,9__3__903_,9__3__903__3903101_1_IT_1,8_06652,8_06652_*,8_06652_
737,8_06654,20160622,8,06654,AV.INDUSTRIA-IMPRENTA,,S,,,,,,U,28,903,90301,,00231,Avda,de la,Industria,N,25,,,28760,01,,2,,,6,7,B2,3,903-006,639,,534-I,2,0,20010621,19010101,,441077,4495463,T,,AV.INDUSTRIA-IMPRENTA,,,,6456,8,348402,93903,3,1,1,06654,*,,23,TI,I2,AV.INDUSTRIA-IMPRENTA,28,903,TRES CANTOS,B2,Avda de la Industria N 25,20120911,20121101,,613.3535,40,9,_,28,903,9__3__903__-_1_IT_1_8_06654_*__TI_I2_23,-,3903101,AV.INDUSTRIA-IMPRENTA,9__3__903_,9__3__903__3903101_1_IT_1,8_06654,8_06654_*,8_06654_
738,8_06655,20160622,8,06655,AV.INDUSTRIA-IMPRENTA,,S,,,,,,U,28,903,90301,,00231,Avda,de la,Industria,N,25,,,28760,01,,,,,6,7,B2,3,903-006,639,,534-I,2,3,20010621,19010101,,441053,4495463,T,,AV.INDUSTRIA-IMPRENTA,,,,6458,8,351385,92903,2,1,1,06655,*,,14,TI,I2,AV.INDUSTRIA-IMPRENTA,28,903,TRES CANTOS,B2,Avda de la Industria N 25,20131128,20130528,,603.6205,40,9,_,28,903,9__2__903__-_1_IT_1_8_06655_*__TI_I2_14,-,2903101,AV.INDUSTRIA-IMPRENTA,9__2__903_,9__2__903__2903101_1_IT_1,8_06655,8_06655_*,8_06655_
739,8_06656,20160622,8,06656,AV.INDUSTRIA-BATANES,,S,,,,,,U,28,903,90301,,00231,Avda,de la,Industria,N,26,,,28760,01,,2,,,6,7,B2,3,903-006,639,,534-I,1,0,20010621,19010101,,441151,4496062,T,,AV.INDUSTRIA-BATANES,,,,6459,8,348402,93903,3,1,1,06656,*,,7,TI,I,AV.INDUSTRIA-BATANES,28,903,TRES CANTOS,B2,Avda de la Industria N 26,20120911,20121101,,210.1677,13.36,9,_,28,903,9__3__903__-_1_IT_1_8_06656_*__TI_I_7,-,3903101,AV.INDUSTRIA-BATANES,9__3__903_,9__3__903__3903101_1_IT_1,8_06656,8_06656_*,8_06656_
740,8_06657,20160622,8,06657,AV.INDUSTRIA-BATANES,,S,,,,,,U,28,903,90301,,00231,Avda,de la,Industria,N,24,,,28760,01,007,,T9033412,,,7,B2,2,903-006,639,,534-1,2,3,20010621,19010101,,441131,4496047,T,,AV.INDUSTRIA-BATANES,,,,6461,8,351385,92903,2,1,1,06657,*,,13,TI,I2,AV.INDUSTRIA-BATANES,28,903,TRES CANTOS,B2,Avda de la Industria N 24,20131128,20130528,,272.7451,40,9,_,28,903,9__2__903__-_1_IT_1_8_06657_*__TI_I2_13,-,2903101,AV.INDUSTRIA-BATANES,9__2__903_,9__2__903__2903101_1_IT_1,8_06657,8_06657_*,8_06657_
741,8_06660,20160622,8,06660,AV.COLMENAR VIEJO-DESCUBRIDORES,,S,,,,,,U,28,903,90301,9030101,99999,Avda,de,Colmenar Viejo,N,46,,,28760,01,005,2,T903134,,,7,B2,2,903-004,637,,534-1,1,0,20010621,19010101,,439667,4495803,T,,AV.COLMENAR VIEJO-DESCUBRIDORES,,,,6464,8,348402,93903,3,1,1,06660,*,,15,TI,I,AV.COLMENAR VIEJO-DESCUBRIDORES,28,903,TRES CANTOS,B2,Avda de Colmenar Viejo N 46,20120911,20121101,,221.7175,-1,9,_,28,903,9__3__903__-_1_IT_1_8_06660_*__TI_I_15,-,3903101,AV.COLMENAR VIEJO-DESCUBRIDORES,9__3__903_,9__3__903__3903101_1_IT_1,8_06660,8_06660_*,8_06660_
742,8_06661,20160622,8,06661,AV.COLMENAR VIEJO-AYUNTAMIENTO,,S,,,,,,U,28,903,90301,9030101,99999,Avda,de,Colmenar Viejo,SN,SN,,,28760,01,001,,T90365,9030101001,6,7,B2,3,903-004,637,,534-I,2,3,20010621,19010101,,439562,4495567,T,,AV.COLMENAR VIEJO-AYUNTAMIENTO,,,,6467,8,351385,92903,2,1,1,06661,*,,5,TI,I,AV.COLMENAR VIEJO-AYUNTAMIENTO,28,903,TRES CANTOS,B2,Avda de Colmenar Viejo SN SN,20131128,20130528,,307.41,13.36,9,_,28,903,9__2__903__-_1_IT_1_8_06661_*__TI_I_5,-,2903101,AV.COLMENAR VIEJO-AYUNTAMIENTO,9__2__903_,9__2__903__2903101_1_IT_1,8_06661,8_06661_*,8_06661_
743,8_15826,20160622,8,15826,JERÓNIMO DEL MORAL-MIRLO,,S,,,,,,U,28,040,04001,0400101,A0086,Calle,de,Jerónimo del Moral,N,69,,,28350,03,002,,T04051,,,4,B3,2,040-002,674,,605-2,2,3,20050314,20050314,,447068,4446496,T,,JERÓNIMO DEL MORAL-MIRLO,,,,2270,8,353805,91040,1,1,1,15826,*,,7,TI,I,JERÓNIMO DEL MORAL-MIRLO,28,040,CIEMPOZUELOS,B3,Calle de Jerónimo del Moral N 69,20141230,20150119,,270.1024,15,9,_,28,040,9__1__040__-_1_IT_1_8_15826_*__TI_I_7,-,1040101,JERÓNIMO DEL MORAL-MIRLO,9__1__040_,9__1__040__1040101_1_IT_1,8_15826,8_15826_*,8_15826_
744,8_07828,20160622,8,07828,ISABEL II-GOBERNADOR,,S,,,,,,U,28,106,10601,,00070,Calle,,Isabel II,N,9,,,28980,01,,,,,7,4,B2,3,106-010,824,,582-III,1,1,20010621,19010101,,434979,4454404,T,,ISABEL II-GOBERNADOR,,,,4704,8,348913,92106,2,1,1,07828,*,,14,TI,I,ISABEL II-GOBERNADOR,28,106,PARLA,B2,Calle  Isabel II N 9,20121211,20121229,,169.867,15,9,_,28,106,9__2__106__-_1_IT_1_8_07828_*__TI_I_14,-,2106101,ISABEL II-GOBERNADOR,9__2__106_,9__2__106__2106101_1_IT_1,8_07828,8_07828_*,8_07828_
745,8_07721,20160622,8,07721,AV.NACIONES-MÓSTOLES,,S,,,,,,U,28,058,05801,,A0336,Avda,de las,Naciones,N,2,,,28943,07,,,,,7,4,B2,3,058-023,698,,582-I,2,3,20010621,19010101,,432048,4460125,T,,AV.NACIONES-MÓSTOLES,,,,3712,8,349543,93058,3,1,1,07721,*,,35,TI,I2,AV.NACIONES-MÓSTOLES,28,058,FUENLABRADA,B2,Avda de las Naciones N 2,20130412,20130422,,422.5159,40,9,_,28,058,9__3__058__-_1_IT_1_8_07721_*__TI_I2_35,-,3058101,AV.NACIONES-MÓSTOLES,9__3__058_,9__3__058__3058101_1_IT_1,8_07721,8_07721_*,8_07721_
746,8_07722,20160622,8,07722,AV.NACIONES-PARQUE,,S,,,,,,U,28,058,05801,,A0336,Avda,de las,Naciones,N,1,A,,28943,07,,,,,7,4,B2,3,058-023,698,,582-I,2,3,20010621,19010101,,431932,4460034,T,,AV.NACIONES-PARQUE,,,,3714,8,354403,94058,4,2,1,07722,*,,19,TI,I,AV.NACIONES-PARQUE,28,058,FUENLABRADA,B2,Avda de las Naciones N 1A,20150427,20150508,,275.179,13.36,9,_,28,058,9__4__058__-_2_IT_1_8_07722_*__TI_I_19,-,4058201,AV.NACIONES-PARQUE,9__4__058_,9__4__058__4058201_2_IT_1,8_07722,8_07722_*,8_07722_
747,8_07727,20160622,8,07727,FRANCIA-EST.PARQUE EUROPA,,S,,,,93,292,U,28,058,05801,,A0179,Calle,de,Francia,N,36,,,28943,07,001,,T058523,,,4,B2,3,058-016,691,,582-I,2,3,20010621,19010101,,431531,4459919,T,,FRANCIA-EST.PARQUE EUROPA,,,,3722,8,308872,92058,2,1,1,07727,*,,8,TI,I,FRANCIA-EST.PARQUE EUROPA,28,058,FUENLABRADA,B2,Calle de Francia N 36,20010621,19010101,,389.6064,15,9,93_292,28,058,9__2__058__-_1_IT_1_8_07727_*__TI_I_8,-,2058101,FRANCIA-EST.PARQUE EUROPA,9__2__058_,9__2__058__2058101_1_IT_1,8_07727,8_07727_*,8_07727_
748,8_07735,20160622,8,07735,GRECIA-AV.NACIONES,,S,,,,,,U,28,058,05801,,A0206,Calle,de,Grecia,N,13,A,,28943,08,,,,,7,4,B2,3,058-022,697,,582-I,2,3,20010621,19010101,,431664,4459518,T,,GRECIA-AV.NACIONES,,,,3734,8,308872,92058,2,1,1,07735,*,,15,TI,I,GRECIA-AV.NACIONES,28,058,FUENLABRADA,B2,Calle de Grecia N 13A,20010621,19010101,,296.9611,-1,9,_,28,058,9__2__058__-_1_IT_1_8_07735_*__TI_I_15,-,2058101,GRECIA-AV.NACIONES,9__2__058_,9__2__058__2058101_1_IT_1,8_07735,8_07735_*,8_07735_
749,8_09268,20160622,8,09268,CTRA.M622-EST.CERCEDILLA,,S,,,,93,169,T,28,038,03802,,00053,Calle,de,Emilio Serrano,N,28,,M-622,28470,01,001,31,T038101,,,6,C2,4,038-001,1155,,508-III,2,11,20010621,19010101,,410073,4510403,T,,CTRA.M622-EST.CERCEDILLA,,,,2166,8,357287,91038,1,2,1,09268,*,,26,TI,I,CTRA.M622-EST.CERCEDILLA,28,038,CERCEDILLA,C2,Calle de Emilio Serrano N 28,20120626,20160701,,338.9776,40,9,93_169,28,038,9__1__038__-_2_IT_1_8_09268_*__TI_I_26,-,1038201,CTRA.M622-EST.CERCEDILLA,9__1__038_,9__1__038__1038201_2_IT_1,8_09268,8_09268_*,8_09268_
750,8_09271,20160622,8,09271,MQUESA.CASA LÓPEZ-CTRA.M622,,S,,,,,,T,28,038,03802,0380201,99999,Calle,de la,Marquesa Casa lópez,N,18,,M-622,28470,01,001,31,,,13,6,C2,4,038-001,1155,,508-3,2,11,20010621,19010101,,410543,4510484,T,,MQUESA.CASA LÓPEZ-CTRA.M622,,,,2168,8,357287,91038,1,2,1,09271,*,,22,TI,I,MQUESA.CASA LÓPEZ-CTRA.M622,28,038,CERCEDILLA,C2,Calle de la Marquesa Casa lópez N 18,20120626,20160701,,726.6994,40,9,_,28,038,9__1__038__-_2_IT_1_8_09271_*__TI_I_22,-,1038201,MQUESA.CASA LÓPEZ-CTRA.M622,9__1__038_,9__1__038__1038201_2_IT_1,8_09271,8_09271_*,8_09271_
751,8_09284,20160622,8,09284,CTRA.M614-URB.PRADO DE SAN JUAN,,S,,,,,,C,28,068,06802,,00698,Ctra,de,Los Molinos (M-614),N,8700,,M-614,28440,01,004,21,T0688439,,,6,C1,3,068-001,1160,,508-3,2,11,20010621,19010101,,408681,4503763,T,,CTRA.M614-URB.PRADO DE SAN JUAN,,,,4093,8,351699,94068,4,1,2,09284,*,,7,TI,I,CTRA.M614-URB.PRADO DE SAN JUAN,28,068,GUADARRAMA,C1,Ctra de Los Molinos (M-614) N 8700,20140217,20140301,,549.6086,40,9,_,28,068,9__4__068__s._1_IT_2_8_09284_*__TI_I_7,s.,4068102,CTRA.M614-URB.PRADO DE SAN JUAN,9__4__068_,9__4__068__4068102_1_IT_2,8_09284,8_09284_*,8_09284_
752,8_09285,20160622,8,09285,CTRA.M614-URB.GUADAMOLINOS,,S,,,,,,C,28,068,06807,,00698,Ctra,de,Los Molinos (M-614),N,8100,,M-614,28440,01,004,21,T06858,,,6,C1,3,068-001,1160,,508-3,4,11,20010621,19010101,,408916,4504417,T,,CTRA.M614-URB.GUADAMOLINOS,,,,4095,8,351699,94068,4,1,2,09285,*,,9,TI,I,CTRA.M614-URB.GUADAMOLINOS,28,068,GUADARRAMA,C1,Ctra de Los Molinos (M-614) N 8100,20140217,20140301,,512.976,40,9,_,28,068,9__4__068__s._1_IT_2_8_09285_*__TI_I_9,s.,4068102,CTRA.M614-URB.GUADAMOLINOS,9__4__068_,9__4__068__4068102_1_IT_2,8_09285,8_09285_*,8_09285_
753,8_09294,20160622,8,09294,CTRA.M614-URB.EL PEÑÓN,,S,,,,,,C,28,068,06807,,00698,Ctra,de,Los Molinos (M-614),N,7600,,M-614,28440,01,004,21,T06856,,,6,C1,3,068-001,1160,,508-3,1,11,20010621,19010101,,409095,4504956,T,,CTRA.M614-URB.EL PEÑÓN,,,,4100,8,338136,94068,4,2,1,09294,*,,9,TI,I,CTRA.M614-URB.EL PEÑÓN,28,068,GUADARRAMA,C1,Ctra de Los Molinos (M-614) N 7600,20080312,20080331,,608.1299,40,9,_,28,068,9__4__068__-_2_IT_1_8_09294_*__TI_I_9,-,4068201,CTRA.M614-URB.EL PEÑÓN,9__4__068_,9__4__068__4068201_2_IT_1,8_09294,8_09294_*,8_09294_
754,8_09296,20160622,8,09296,CTRA.M614-URB.PRADO DE SAN JUAN,,S,,,,,,C,28,068,06802,,C0003,Paseo,del,Prado de la Iglesia,N,6,,M-614,28440,01,004,21,T0688440,,,6,C1,3,068-001,1160,,508-3,1,11,20010621,19010101,,408667,4503782,T,,CTRA.M614-URB.PRADO DE SAN JUAN,,,,4104,8,338136,94068,4,2,1,09296,*,,12,TI,I,CTRA.M614-URB.PRADO DE SAN JUAN,28,068,GUADARRAMA,C1,Paseo del Prado de la Iglesia N 6,20080312,20080331,,634.0345,40,9,_,28,068,9__4__068__-_2_IT_1_8_09296_*__TI_I_12,-,4068201,CTRA.M614-URB.PRADO DE SAN JUAN,9__4__068_,9__4__068__4068201_2_IT_1,8_09296,8_09296_*,8_09296_
755,8_08804,20160622,8,08804,PLAYA DE LA CONCHA-PLAYA FORMENTOR,,S,,,,,,Z,28,022,02217,0221701,99999,Calle,,Playa de la Concha,N,6,,,28669,01,001,,,,9,5,B2,3,022-002,951,,558-II,2,3,20010621,19010101,,425229,4477824,T,,PLAYA DE LA CONCHA-PLAYA FORMENTOR,,,,2088,8,342020,93022,3,1,1,08804,*,,9,TI,I,PLAYA DE LA CONCHA-PLAYA FORMENTOR,28,022,BOADILLA DEL MONTE,B2,Calle  Playa de la Concha N 6,20100329,20100401,,407.5351,13.36,9,_,28,022,9__3__022__-_1_IT_1_8_08804_*__TI_I_9,-,3022101,PLAYA DE LA CONCHA-PLAYA FORMENTOR,9__3__022_,9__3__022__3022101_1_IT_1,8_08804,8_08804_*,8_08804_
756,8_09090,20160622,8,09090,PºCHOPERA-CENTRO SALUD VALDAVIA,,S,,,,,,U,28,006,00601,0060101,99999,Paseo,de la,Chopera,N,89,,,28100,01,001,1,T006363,0060101001,6,1,B1,3,006-006,591,,534-IV,1,3,20010621,19010101,,445342,4488595,T,,PºCHOPERA-CENTRO SALUD VALDAVIA,,,,1116,8,348435,910006,10,1,1,09090,*,,7,TI,I,PºCHOPERA-CENTRO SALUD VALDAVIA,28,006,ALCOBENDAS,B1,Paseo de la Chopera N 89,20120917,20120929,,287.4532,40,9,_,28,006,9__10__006__-_1_IT_1_8_09090_*__TI_I_7,-,10006101,PºCHOPERA-CENTRO SALUD VALDAVIA,9__10__006_,9__10__006__10006101_1_IT_1,8_09090,8_09090_*,8_09090_
757,8_11272,20160622,8,11272,CºDE HUMANES-ALFONSO XII,,S,,,,,,U,28,092,09201,0920101,A0057,Calle, ,Camino de Humanes,N,30,,,28938,04,027,,T092703,,,5,B2,2,092-027,805,,581-2,2,3,20010621,19010101,,427134,4463385,T,,CºDE HUMANES-ALFONSO XII,,,,4401,8,346969,94092,4,1,1,11272,*,,3,TI,I,CºDE HUMANES-ALFONSO XII,28,092,MOSTOLES,B2,Calle   Camino de Humanes N 30,20110923,20120322,,583.7991,15,9,_,28,092,9__4__092__-_1_IT_1_8_11272_*__TI_I_3,-,4092101,CºDE HUMANES-ALFONSO XII,9__4__092_,9__4__092__4092101_1_IT_1,8_11272,8_11272_*,8_11272_
758,8_11264,20160622,8,11264,MARGARITA-LILAS,,S,,,,,,U,28,092,09201,0920101,A0225,Calle, ,Margarita,N,29,,,28933,02,038,,T0923089,0920101064,7,5,B2,2,092-004,782,,558-4,2,3,20010621,19010101,,426705,4466078,T,,MARGARITA-LILAS,,,,4406,8,346970,94092,4,2,1,11264,*,,3,TI,I,MARGARITA-LILAS,28,092,MOSTOLES,B2,Calle   Margarita N 29,20110923,20120322,,121.7963,15,9,_,28,092,9__4__092__-_2_IT_1_8_11264_*__TI_I_3,-,4092201,MARGARITA-LILAS,9__4__092_,9__4__092__4092201_2_IT_1,8_11264,8_11264_*,8_11264_
759,8_11265,20160622,8,11265,MARGARITA-GTA.LOS JAZMINES,,S,,,,,,U,28,092,09201,0920101,A0225,Calle, ,Margarita,N,14,,,28933,02,038,,T09269,0920101070,7,5,B2,2,092-004,782,,558-4,2,3,20010621,19010101,,426742,4466018,T,,MARGARITA-GTA.LOS JAZMINES,,,,4407,8,346969,94092,4,1,1,11265,*,,15,TI,I,MARGARITA-GTA.LOS JAZMINES,28,092,MOSTOLES,B2,Calle   Margarita N 14,20110923,20120322,,284.71,15,9,_,28,092,9__4__092__-_1_IT_1_8_11265_*__TI_I_15,-,4092101,MARGARITA-GTA.LOS JAZMINES,9__4__092_,9__4__092__4092101_1_IT_1,8_11265,8_11265_*,8_11265_
760,8_11267,20160622,8,11267,AV.ALCALDE DE MOSTOLES-PINTOR VELÁZQUEZ,,S,,,,,,U,28,092,09201,0920101,A0006,Avda,del,Alcalde de Móstoles,N,11,,,28933,02,029,,T0923177,0920101022,7,5,B2,2,092-008,786,,solape,2,3,20010621,19010101,,427009,4465465,T,,AV.ALCALDE DE MOSTOLES-PINTOR VELÁZQUEZ,,,,4405,8,346969,94092,4,1,1,11267,*,,13,TI,I,AV.ALCALDE DE MOSTOLES-PINTOR VELÁZQUEZ,28,092,MOSTOLES,B2,Avda del Alcalde de Móstoles N 11,20110923,20120322,,632.3009,40,9,_,28,092,9__4__092__-_1_IT_1_8_11267_*__TI_I_13,-,4092101,AV.ALCALDE DE MOSTOLES-PINTOR VELÁZQUEZ,9__4__092_,9__4__092__4092101_1_IT_1,8_11267,8_11267_*,8_11267_
761,8_11266,20160622,8,11266,AV.ALCALDE DE MÓSTOLES-PINTOR VELÁZQUEZ,,S,,,,,,U,28,092,09201,0920101,A0006,Avda,del,Alcalde de Móstoles,N,11,,,28932,02,029,,T0923176,0920101022,7,5,B2,2,092-008,786,,solape,2,3,20010621,19010101,,427008,4465435,T,,AV.ALCALDE DE MÓSTOLES-PINTOR VELÁZQUEZ,,,,4404,8,346970,94092,4,2,1,11266,*,,5,TI,I,AV.ALCALDE DE MÓSTOLES-PINTOR VELÁZQUEZ,28,092,MOSTOLES,B2,Avda del Alcalde de Móstoles N 11,20110923,20120322,,444.7417,40,9,_,28,092,9__4__092__-_2_IT_1_8_11266_*__TI_I_5,-,4092201,AV.ALCALDE DE MÓSTOLES-PINTOR VELÁZQUEZ,9__4__092_,9__4__092__4092201_2_IT_1,8_11266,8_11266_*,8_11266_
762,8_08053,20160622,8,08053,VALDEMORO-FEDERICO GARCÍA LORCA,,S,,,,,,U,28,113,11301,,A0288,Calle, ,Valdemoro,N,20,,,28320,02,004,,T113393,,,4,B2,2,113-006,836,,582-3,2,3,20010621,19010101,,440718,4454514,T,,VALDEMORO-FEDERICO GARCÍA LORCA,,,,4932,8,353123,91113,1,1,2,08053,*,,12,TI,I2,VALDEMORO-FEDERICO GARCÍA LORCA,28,113,PINTO,B2,Calle   Valdemoro N 20,20140908,20140720,,249.1151,-1,9,_,28,113,9__1__113__c._1_IT_2_8_08053_*__TI_I2_12,c.,1113102,VALDEMORO-FEDERICO GARCÍA LORCA,9__1__113_,9__1__113__1113102_1_IT_2,8_08053,8_08053_*,8_08053_
763,8_08060,20160622,8,08060,CONSTITUCIÓN-SAN JUAN,,S,,,,,,U,28,058,05801,,A0114,Calle,de la,Constitución,N,111,,,28946,02,,,,,7,4,B2,3,058-011,686,,582-I,2,11,20010621,19010101,,434105,4459339,T,,CONSTITUCIÓN-SAN JUAN,,,,3752,8,342226,91058,1,1,1,08060,*,,5,TI,I,CONSTITUCIÓN-SAN JUAN,28,058,FUENLABRADA,B2,Calle de la Constitución N 111,20100510,20100601,,401.8528,15,9,_,28,058,9__1__058__-_1_IT_1_8_08060_*__TI_I_5,-,1058101,CONSTITUCIÓN-SAN JUAN,9__1__058_,9__1__058__1058101_1_IT_1,8_08060,8_08060_*,8_08060_
764,8_08061,20160622,8,08061,CONSTITUCIÓN-CºDEL ÁLAMO,,S,,,,,,U,28,058,05801,,A0114,Calle,de la,Constitución,N,111,,,28946,04,,,,,7,4,B2,3,058-011,686,,582-I,2,7,20010621,19010101,,434103,4459331,T,,CONSTITUCIÓN-CºDEL ÁLAMO,,,,3753,8,342227,91058,1,2,1,08061,*,,32,TI,I,CONSTITUCIÓN-CºDEL ÁLAMO,28,058,FUENLABRADA,B2,Calle de la Constitución N 111,20100510,20100601,,461.503,31.68,9,_,28,058,9__1__058__-_2_IT_1_8_08061_*__TI_I_32,-,1058201,CONSTITUCIÓN-CºDEL ÁLAMO,9__1__058_,9__1__058__1058201_2_IT_1,8_08061,8_08061_*,8_08061_
765,8_08063,20160622,8,08063,CONSTITUCIÓN-POLIDEPORTIVO,,S,,,,,,U,28,058,05801,,A0450,Calle, ,Sierra Filabres,N,2,,,28946,04,012,,T05881297,,,4,B2,2,058-011,686,,582-1,2,3,20010621,19010101,,434518,4459279,T,,CONSTITUCIÓN-POLIDEPORTIVO,,,,3756,8,342227,91058,1,2,1,08063,*,,33,TI,I,CONSTITUCIÓN-POLIDEPORTIVO,28,058,FUENLABRADA,B2,Calle   Sierra Filabres N 2,20100510,20100601,,429.7554,15,9,_,28,058,9__1__058__-_2_IT_1_8_08063_*__TI_I_33,-,1058201,CONSTITUCIÓN-POLIDEPORTIVO,9__1__058_,9__1__058__1058201_2_IT_1,8_08063,8_08063_*,8_08063_
766,8_08064,20160622,8,08064,CºBAJO DE GETAFE-POLIDEPORTIVO,,S,,,,,,U,28,058,05801,,A0051,Cmno,,Bajo de Getafe,N,2,,,28946,02,,,,,7,4,B2,3,058-011,686,,582-I,2,3,20010621,19010101,,434752,4459302,T,,CºBAJO DE GETAFE-POLIDEPORTIVO,,,,3758,8,342226,91058,1,1,1,08064,*,,3,TI,I,CºBAJO DE GETAFE-POLIDEPORTIVO,28,058,FUENLABRADA,B2,Cmno  Bajo de Getafe N 2,20100510,20100601,,190.423,13.36,9,_,28,058,9__1__058__-_1_IT_1_8_08064_*__TI_I_3,-,1058101,CºBAJO DE GETAFE-POLIDEPORTIVO,9__1__058_,9__1__058__1058101_1_IT_1,8_08064,8_08064_*,8_08064_
