OBJECTID,MODO,CODIGOITINERARIO,CODIGOGESTIONLINEA,NUMEROLINEAUSUARIO,SENTIDO,TIPOITINERARIO,CODIGOESTACION,CODIGOPOSTE,CODIGOANDEN,NUMEROORDEN,IDENTIFICADORTIPOPARADA,TIPOPARADA,DENOMINACION,CODIGOPROVINCIA,CODIGOMUNICIPIO,MUNICIPIO,CORONATARIFARIA,DIRECCION,FECHAALTA,FECHAINICIO,FECHAFIN,LONGITUDTRAMOANTERIOR,VELOCIDADTRAMOANTERIOR,MODOLINEA,IDFINTERCAMBIADOR,CODPROV_LINEA,CODMUN_LINEA,IDFTRAMO,CODIGOOBSERVACION,CODIGOSUBLINEA,DENOMINACION_SAE,IDFLINEA,IDFITINERARIO,IDFESTACION,IDFPOSTE,IDFANDEN
2991,6,335886,372,172SF,1,1,1671,*,,9,TI,I,AV.SAN LUIS-COSTA DEL SOL,28,079,MADRID,A,Avda de San Luis SN SN,20070209,20070131,,213.647,17.083,6,93_228,,,6__172_A____1_IT_1_6_1671_*__TI_I_9,,,,6__172_A__,6__172_A____1_IT_1,6_1671,6_1671_*,6_1671_
2992,6,352084,107,107,2,1,1671,*,,7,TI,I,AV.SAN LUIS-COSTA DEL SOL,28,079,MADRID,A,Avda de San Luis SN SN,20140325,20140325,,213.647,14.353,6,93_228,,,6__107_____2_IT_1_6_1671_*__TI_I_7,,,,6__107___,6__107_____2_IT_1,6_1671,6_1671_*,6_1671_
2993,6,330724,125,125,1,1,1672,*,,11,TI,I,AV.SAN LUIS-CRTA.ESTACION HORTALEZA,28,079,MADRID,A,Avda de San Luis N 104,19991221,20010616,,220.6505,16.87,6,_,,,6__125_____1_IT_1_6_1672_*__TI_I_11,,,,6__125___,6__125_____1_IT_1,6_1672,6_1672_*,6_1672_
2994,6,335886,372,172SF,1,1,1672,*,,11,TI,I,AV.SAN LUIS-CRTA.ESTACION HORTALEZA,28,079,MADRID,A,Avda de San Luis N 104,20070209,20070131,,220.6505,17.083,6,_,,,6__172_A____1_IT_1_6_1672_*__TI_I_11,,,,6__172_A__,6__172_A____1_IT_1,6_1672,6_1672_*,6_1672_
2995,6,335883,172,172,1,1,1672,*,,11,TI,I,AV.SAN LUIS-CRTA.ESTACION HORTALEZA,28,079,MADRID,A,Avda de San Luis N 104,20070209,20070131,,220.6505,16.611,6,_,,,6__172_____1_IT_1_6_1672_*__TI_I_11,,,,6__172___,6__172_____1_IT_1,6_1672,6_1672_*,6_1672_
2996,6,352084,107,107,2,1,1672,*,,9,TI,I,AV.SAN LUIS-CRTA.ESTACION HORTALEZA,28,079,MADRID,A,Avda de San Luis N 104,20140325,20140325,,220.6505,14.353,6,_,,,6__107_____2_IT_1_6_1672_*__TI_I_9,,,,6__107___,6__107_____2_IT_1,6_1672,6_1672_*,6_1672_
2997,6,330724,125,125,1,1,1674,*,,13,TI,I,AV.SAN LUIS-CUEVAS DE ALMANZORA,28,079,MADRID,A,Avda de San Luis SN SN,19991221,20010616,,448.6856,16.87,6,_,,,6__125_____1_IT_1_6_1674_*__TI_I_13,,,,6__125___,6__125_____1_IT_1,6_1674,6_1674_*,6_1674_
2998,6,352084,107,107,2,1,1674,*,,11,TI,I,AV.SAN LUIS-CUEVAS DE ALMANZORA,28,079,MADRID,A,Avda de San Luis SN SN,20140325,20140325,,448.6856,14.353,6,_,,,6__107_____2_IT_1_6_1674_*__TI_I_11,,,,6__107___,6__107_____2_IT_1,6_1674,6_1674_*,6_1674_
2999,6,344448,070,70,2,1,1675,*,,32,TI,I,CAIDOS DIVISION AZUL-AV.PIO XII,28,079,MADRID,A,Calle de los Caídos de la División Azul N 7,20110324,20110316,,193.442,30,6,_,,,6__70_____2_IT_1_6_1675_*__TI_I_32,,,,6__70___,6__70_____2_IT_1,6_1675,6_1675_*,6_1675_
3000,6,352084,107,107,2,1,1675,*,,19,TI,I,CAIDOS DIVISION AZUL-AV.PIO XII,28,079,MADRID,A,Calle de los Caídos de la División Azul N 7,20140325,20140325,,193.442,30,6,_,,,6__107_____2_IT_1_6_1675_*__TI_I_19,,,,6__107___,6__107_____2_IT_1,6_1675,6_1675_*,6_1675_
